name,rating,user_ratings_total
St. Louis Bread Co.,4.0,579.0
Dunkin',3.2,352.0
Starbucks,4.2,485.0
Starbucks,4.3,361.0
Circle K,3.1,16.0
Circle K,2.5,39.0
Tidal Wave Wash Center,4.0,54.0
Starbucks,4.3,86.0
Sam's Club Cafe,,
On The Run,4.1,13.0
Kaldi's Coffee,4.5,804.0
Great Harvest Bread Co. Kirkwood,4.7,213.0
Dunkin',3.2,352.0
The Daily Bread Bakery & Cafe,4.5,484.0
Strange Donuts,4.2,282.0
Starbucks,4.2,260.0
On The Run,3.5,13.0
Starbucks,3.7,75.0
Starbucks,4.2,485.0
McDonald's,3.2,996.0
Cornucopia,4.8,75.0
Teleo Coffee,4.8,247.0
Gelato Di Riso - Kirkwood,4.8,82.0
PokeDoke,4.2,82.0
Whisker Station Cat Cafe and Lounge,4.8,130.0
Starbucks,4.3,86.0
Circle K,2.5,39.0
Sam's Club Cafe,,
Starbucks,4.2,460.0
Dunkin',3.5,272.0
The Daily Bread Bakery & Cafe,4.5,484.0
St. Louis Bread Co.,3.9,462.0
On The Run,3.5,13.0
Starbucks,3.7,75.0
Mariposa,4.7,30.0
Starbucks,4.2,460.0
Mariposa,4.7,30.0
Covenant Cafe,5.0,5.0
St. Louis Bread Co.,4.2,768.0
Starbucks,4.1,947.0
Einstein Bros Bagels,4.0,2.0
St. Louis Kolache,4.5,518.0
On The Run,2.7,20.0
McDonald's,3.7,1151.0
McDonald's,3.5,1196.0
Bayer Crop Science K Cafe,4.2,37.0
ShareSweet,4.3,184.0
Circle K,3.5,35.0
Kahve Coffee,,
Coffee and deli shop,5.0,1.0
Dunkin',3.6,456.0
Scooter's Coffee,4.6,115.0
Starbucks,4.8,5.0
Starbucks,4.3,538.0
McDonald's,3.3,1011.0
St. Louis Bread Co.,4.0,807.0
Starbucks,4.3,604.0
Circle K,3.5,51.0
St. Louis Kolache,4.5,518.0
The Foundry Bakery,4.7,406.0
Tomoorona,,
Tony’s Donuts & Cafe,4.4,50.0
Elite Cuisine Centerpoint,5.0,1.0
STL Office,,
Higher Groundz Coffee & Tea,5.0,168.0
Circle K,2.7,21.0
The Sweet Spot Cafe,4.7,1334.0
Circle K,3.5,52.0
Dunkin',3.7,392.0
McDonald's,3.3,2339.0
St. Louis Bread Co.,3.9,721.0
Starbucks,4.2,871.0
Starbucks,4.0,290.0
St. Louis Bread Co.,4.0,554.0
Circle K,3.2,23.0
Starbucks,4.3,361.0
Starbucks,4.4,677.0
Holy Grounds Cafe,,
Circle K,2.8,17.0
Cafe,,
Fireside Cafe,,
Coffee Culture/Cookie Hustle,4.7,143.0
Affton Diner,4.1,542.0
Kaldi's Coffee,4.5,804.0
St. Louis Bread Co.,4.0,298.0
Great Harvest Bread Co. Kirkwood,4.7,213.0
Dunkin',3.2,352.0
Strange Donuts,4.2,282.0
Starbucks,4.2,260.0
St. Louis Bread Co.,3.9,462.0
Starbucks,4.3,361.0
The Clover and the Bee,4.6,614.0
McDonald's,3.2,996.0
Cornucopia,4.8,75.0
On The Run,4.1,13.0
Sam's Club Cafe,,
PokeDoke,4.2,82.0
Whisker Station Cat Cafe and Lounge,4.8,130.0
Teleo Coffee,4.8,247.0
Gelato Di Riso - Kirkwood,4.8,82.0
Starbucks,4.3,86.0
Circle K,3.1,16.0
Northwest Roasting,5.0,9.0
Circle K,2.8,17.0
St. Louis Bread Co.,4.0,298.0
Kolache Factory,4.6,689.0
Starbucks,4.3,485.0
Dunkin',3.5,272.0
St. Louis Bread Co.,3.7,735.0
On The Run,2.9,16.0
The Clover and the Bee,4.6,614.0
On The Run,4.2,6.0
Circle K,2.3,20.0
Starbucks,4.2,313.0
WOW Café,3.7,11.0
Webster Groves Garden Cafe,4.6,293.0
Maypop Coffee & Garden Shop,4.8,444.0
Starbucks,3.8,64.0
Mississippi Mud Coffee,5.0,1.0
Starbucks,4.2,460.0
Deer Creek Coffee,4.3,278.0
Mariposa,4.7,30.0
Barnes & Noble,4.5,954.0
McDonald's,3.6,1083.0
On The Run,2.7,20.0
Jilly's Cupcake Bar & Café,4.5,1200.0
Circle @ Crown Cafe,4.7,21.0
McDonald's,3.4,1515.0
On The Run,2.9,11.0
McDonald's,3.7,1151.0
Starbucks,4.2,524.0
Crown Center For Senior Living,4.8,5.0
Circle K,1.9,26.0
Revocup Coffee,4.9,341.0
Panera Bread,4.6,5.0
Sum Tea House,4.9,57.0
Cube Tea Studio,4.6,66.0
Cube Tea Express,4.6,407.0
ShareSweet,4.3,184.0
Café One,5.0,1.0
Starbucks INSIDE Barnes and Noble,,
Manifest Juice and Broth,4.6,25.0
Scooter's Coffee,4.6,115.0
On The Run,2.9,11.0
St. Louis Kolache,4.5,518.0
McDonald's,3.5,1196.0
The Sweet Spot Cafe,4.7,1334.0
Dunkin',3.6,456.0
Scooter's Coffee,4.6,115.0
Coffee and deli shop,5.0,1.0
Kahve Coffee,,
Gary Casey service,,
LaJoy's Coffee Cafe,4.7,148.0
Rib Cafe,,
Great Wraps,3.4,84.0
Starbucks,3.1,147.0
Dunkin',3.3,240.0
Circle K,3.5,52.0
McDonald's,3.3,2339.0
Starbucks,2.4,5.0
Starbucks,3.4,590.0
Starbucks,,
Starbucks,2.5,19.0
Dunkin',2.0,11.0
Gary Casey service,,
St. Louis Bread Co.,4.0,554.0
Circle K,3.5,36.0
Starbucks,4.4,677.0
Circle K,3.2,23.0
Circle K,3.4,42.0
Holy Grounds Cafe,,
Affton Diner,4.1,542.0
Sedara Sweets & Ice Cream,4.8,329.0
St. Louis Bread Co.,4.0,298.0
McDonald's,3.2,753.0
Starbucks,4.5,237.0
WOW Café,3.7,11.0
East Academic Building - Café,5.0,4.0
The Clover and the Bee,4.6,614.0
Einstein Bros. Bagels,4.1,232.0
McDonald's,3.1,1137.0
Boardwalk Cafe,4.5,510.0
Circle K,2.8,17.0
Northwest Roasting,5.0,9.0
The Annex Coffee and Foods,4.7,212.0
Webster Groves Garden Cafe,4.6,293.0
Dunkin',3.6,9.0
Sedara Sweets & Ice Cream,4.8,329.0
Strange Donuts,4.1,676.0
McDonald's,3.3,2198.0
Maplewood Deli & Coffeehouse,4.5,575.0
Kolache Factory,4.6,689.0
Starbucks,4.3,485.0
McDonald's,3.2,753.0
Starbucks,4.3,448.0
St. Louis Bread Co.,3.7,735.0
Starbucks,4.5,237.0
Circle K,2.3,20.0
La Cosecha Coffee Roasters,4.8,175.0
Great Harvest Bread Co,4.7,93.0
Circle K,3.5,39.0
Dunkin',3.5,498.0
Circle K,3.4,22.0
Starbucks,3.5,24.0
On The Run,4.2,6.0
St. Louis Bread Co.,4.0,1227.0
St. Louis Bread Co.,3.7,1293.0
Einstein Bros. Bagels,4.1,232.0
East Academic Building - Café,5.0,4.0
On The Run,3.4,39.0
Colombo's Cafe & Tavern,4.4,131.0
Circle K,3.7,32.0
Mauhaus Cat Cafe,4.8,1780.0
Living Room Coffee & Kitchen,4.6,535.0
Looking Meadow Cafe,4.9,17.0
Mississippi Mud Coffee,5.0,1.0
Maypop Coffee & Garden Shop,4.8,444.0
Sam's Club Cafe,5.0,2.0
Dunkin',3.6,9.0
Boardwalk Cafe,4.5,510.0
Starbucks,4.3,456.0
The Annex Coffee and Foods,4.7,212.0
Starbucks,3.8,64.0
Einstein Bros. Bagels,4.1,222.0
Honey Bee Tea - Brentwood,4.8,339.0
Blueprint Coffee,4.6,336.0
Barnes & Noble,4.5,954.0
City Coffee & Creperie,4.6,1100.0
Kaldi's Coffee,4.5,290.0
Half & Half,4.3,1092.0
McDonald's,3.3,2198.0
St. Louis Bread Co.,3.7,735.0
Winslow's Table,4.4,945.0
Starbucks,4.3,383.0
Starbucks,4.3,485.0
St. Louis Bread Co.,3.7,1293.0
Cafe Cornucopia,4.1,11.0
Coma Coffee Roasters,4.3,506.0
St. Louis Bread Co.,4.1,424.0
Nordstrom Ebar Artisan Coffee,4.2,14.0
Cafe Bistro,4.4,54.0
Starbucks,3.5,24.0
Circle K,3.4,22.0
Cursed Bikes & Coffee,4.8,107.0
Dunkin',3.5,498.0
On The Run,4.2,6.0
Starbucks,4.2,524.0
Circle @ Crown Cafe,4.7,21.0
Jilly's Cupcake Bar & Café,4.5,1200.0
Cafe Breve,4.4,30.0
COLLEEN'S,4.5,431.0
Starbucks,3.8,64.0
Einstein Bros. Bagels,4.1,222.0
Crown Center For Senior Living,4.8,5.0
Metro Java Coffee House,4.7,3.0
Bubble Tea House,3.8,149.0
Macy's Cafe,4.0,4.0
St Louis Union Labor Guide,,
Avenue Restaurant,4.4,294.0
Ivy Cafe,4.7,159.0
Manifest Juice and Broth,4.6,25.0
Honey Bee Tea - Brentwood,4.8,339.0
TruFusion STL,4.9,50.0
BerryBox Superfood Bar,5.0,8.0
Starbucks,4.3,456.0
Starbucks INSIDE Barnes and Noble,,
Sam's Club Cafe,5.0,2.0
Cherry Tree Café,,
Johann Hinrich Benidt Seminary Center,4.0,1.0
Winslow's Table,4.4,945.0
Starbucks,4.1,513.0
City Coffee & Creperie,4.6,1100.0
Kaldi's Coffee,4.5,290.0
McDonald's,3.6,1083.0
Half & Half,4.3,1092.0
Starbucks,4.3,383.0
Circle K,1.9,26.0
Starbucks,4.2,524.0
Cursed Bikes & Coffee,4.8,107.0
United Provisions,4.5,1239.0
Meshuggah Cafe,4.6,296.0
COLLEEN'S,4.5,431.0
Blueprint Coffee,4.5,707.0
Café One,5.0,1.0
24:1 Coffee House/Cafe,4.4,182.0
Best Friends Market & Deli,4.6,43.0
Cube Tea Express,4.6,407.0
"Well U Cafe, LLC",5.0,1.0
Cube Tea Studio,4.6,66.0
Hitea,3.8,41.0
KUNG FU TEA,4.1,300.0
BerryBox Superfood Bar,5.0,8.0
TruFusion STL,4.9,50.0
Ivy Cafe,4.7,159.0
Sum Tea House,4.9,57.0
Avenue Restaurant,4.4,294.0
McDonald's,3.4,2385.0
McDonald's,3.4,1515.0
On The Run,2.9,11.0
On The Run,3.0,21.0
LaJoy's Coffee Cafe,4.7,148.0
Gary Casey service,,
Circle K,2.5,31.0
Starbucks,3.1,147.0
Hive Cafe,4.0,71.0
Dunkin',2.0,11.0
Starbucks,4.0,517.0
McDonald's,3.1,2391.0
Circle K,3.4,19.0
Circle K,2.5,35.0
Cibare Italian Kitchen,4.0,43.0
Circle K,3.4,42.0
McDonald's,3.0,1530.0
Starbucks,4.3,448.0
St. Louis Bread Co.,4.0,1227.0
Zoomies Pet Cafe + Boutique,4.9,129.0
Vivid Cafe,4.2,155.0
Knead Bakehouse + Provisions,4.7,306.0
Circle K,3.5,36.0
McDonald's,2.7,1506.0
McDonald's,3.1,1137.0
McDonald's,3.0,1530.0
Starbucks,4.1,148.0
McDonald's,3.3,1787.0
Blueprint Coffee,4.6,336.0
Lola Jean's,4.7,117.0
Triple Crown Café,5.0,5.0
Sedara Sweets & Ice Cream,4.8,329.0
Shaw's Coffee Ltd.,4.6,450.0
McDonald's,2.7,2253.0
Gelato Di Riso,4.8,680.0
Park Avenue Coffee - The Hill,4.7,416.0
On The Run,3.4,39.0
Volpi Foods,4.9,252.0
Knead Bakehouse + Provisions,4.7,306.0
Circle K,3.3,103.0
Colombo's Cafe & Tavern,4.4,131.0
Circle K,3.5,39.0
Starbucks,4.2,562.0
McDonald's,2.7,1506.0
Circle K,2.5,41.0
Mountain House cafe,1.0,1.0
Café Dolce,4.9,233.0
Love 'n Light Cuisine,4.9,55.0
Pipers Tea & Coffee,4.7,181.0
Starbucks,4.2,197.0
Road Crew Coffee & Cycles,4.9,101.0
Starbucks,4.1,148.0
Kaldi's Coffee on Skinker,4.5,854.0
Kaldi’s Coffee,4.6,786.0
Starbucks,4.1,513.0
Winslow's Table,4.4,945.0
Kaldi's Coffee,4.5,290.0
McDonald's,2.7,2253.0
St. Louis Bread Co.,3.7,1293.0
Starbucks,4.2,353.0
United Provisions,4.5,1239.0
Circle K,3.3,103.0
Meshuggah Cafe,4.6,296.0
Blueprint Coffee,4.5,707.0
Comet Coffee,4.7,681.0
Cursed Bikes & Coffee,4.8,107.0
Einstein Bros. Bagels,4.1,222.0
COLLEEN'S,4.5,431.0
Colombo's Cafe & Tavern,4.4,131.0
Forest Perk Cafe,4.6,81.0
Seedz Provisions,4.6,11.0
Johann Hinrich Benidt Seminary Center,4.0,1.0
Cherry Tree Café,,
One Hippo Hideaway Grill,,
Café Kudu,2.9,21.0
Starbucks at Saint Louis Zoo,4.0,44.0
River Camp Cafe,2.0,1.0
Carousel Cafe,4.0,1.0
Suite 100,4.3,31.0
East Refreshments,4.0,65.0
Sweet EM’s,4.8,238.0
KUNG FU TEA,4.1,300.0
Hitea,3.8,41.0
Starbucks,4.2,197.0
Love 'n Light Cuisine,4.9,55.0
Chelsea Cafe,3.9,42.0
Mack Delicious ice cream coffee Sweet’s &Treats,4.7,31.0
Best Friends Market & Deli,4.6,43.0
BerryBox Superfood Bar,5.0,8.0
TruFusion STL,4.9,50.0
Crema Coffeehouse,,
"Well U Cafe, LLC",5.0,1.0
Starbucks,4.1,513.0
United Provisions,4.5,1239.0
Blueprint Coffee,4.5,707.0
Meshuggah Cafe,4.6,296.0
Cafe Cafe,4.7,3.0
Members Only STL Café,4.7,17.0
Urban Cafe & Coffee Shop,4.4,98.0
"Well U Cafe, LLC",5.0,1.0
Ari's Ice Cream Parlor & Cafe,4.7,359.0
24:1 Coffee House/Cafe,4.4,182.0
Suite 100,4.3,31.0
Legacy Books and Cafe,,
Best Friends Market & Deli,4.6,43.0
McDonald's,3.3,2180.0
Chelsea Cafe,3.9,42.0
KUNG FU TEA,4.1,300.0
Brew Tulum Specialty Coffee Experience,4.6,156.0
Mack Delicious ice cream coffee Sweet’s &Treats,4.7,31.0
Hitea,3.8,41.0
Einstein Bros. Bagels,3.1,37.0
WOW Café,3.3,6.0
McDonald's,3.2,1245.0
CLASSY CAKES CAFE,5.0,6.0
Circle K,2.5,31.0
Mobil,,
Hive Cafe,4.0,71.0
Starbucks,4.0,517.0
Circle K,2.5,35.0
Cibare Italian Kitchen,4.0,43.0
Speakeasy Cafe',5.0,62.0
Vivid Cafe,4.2,155.0
Zoomies Pet Cafe + Boutique,4.9,129.0
Starbucks,4.2,562.0
McDonald's,3.3,1787.0
Zlatne Kapi LLC,4.8,150.0
Ruong Ca Phe,3.6,5.0
Café Milano,4.6,35.0
Scorpion Cafe & Bar,4.3,12.0
Cafe Bar 9,3.8,14.0
Caffe Palermo,4.7,20.0
Triple Crown Café,5.0,5.0
8 Cafe Vietnamese Coffee Shop and Billiards,4.8,4.0
Pipers Tea & Coffee,4.7,181.0
Lola Jean's,4.7,117.0
Hartford Coffee Company,4.5,825.0
MoKaBe's Coffeehouse,4.5,1280.0
McDonald's,2.8,2927.0
The Gelateria Coffee Company,4.6,676.0
Starbucks,4.2,832.0
Fresh Gatherings Cafe + Farm,4.8,158.0
Milque Toast Bar,4.6,376.0
Crave Coffeehouse,4.5,176.0
Well Met Café,,
Chimera Teas,5.0,1.0
Fiddlehead Fern Cafe,4.5,564.0
Rooster,4.3,2450.0
Ranell's Market & Cafe,4.4,133.0
La Pâtisserie Chouquette,4.7,528.0
AO&Co. Market & Cafe,4.4,113.0
Union Loafers Café and Bread Bakery,4.7,1050.0
Have A Cow Cattle Co. Cafe and Urban Farm Store,4.9,463.0
The Drip Community Coffee House STL,5.0,20.0
Coffeestamp,4.9,320.0
Road Crew Coffee & Cycles,4.9,101.0
Love 'n Light Wellness,,
Lilly's Panaderia,4.7,69.0
Black Coffee.,4.9,27.0
Sweetwaters Coffee & Tea,4.1,161.0
Starbucks,4.3,452.0
Bar Italia,4.3,453.0
The Cup,4.7,492.0
McDonald's,3.3,2611.0
Taste Of Lebanon,4.1,568.0
Kaldi’s Coffee - Farrell Cafe,4.4,51.0
Park Avenue Coffee - Cortex,4.2,109.0
Northwest Coffee Roasting,4.5,638.0
Serendipity Homemade Ice Cream,4.6,548.0
Comet Coffee,4.7,681.0
Bubblecup Tea Zone,4.8,29.0
BOBA BELLY,5.0,1.0
Kaldi's Coffee,4.6,323.0
Hitea,4.1,15.0
St. Louis Bread Co.,3.4,50.0
Kaldi's Coffee at Mid Campus Center,4.4,102.0
Starbucks,3.8,56.0
Coffee Club,4.4,8.0
TechArtista CWE,4.8,76.0
Crema Coffeehouse,,
Brew Tulum Specialty Coffee Experience,4.6,156.0
The Market Coffee,,
Hello Juice & Smoothie,4.5,279.0
Quarrelsome Coffee,4.7,105.0
Legacy Books and Cafe,,
Mack Delicious ice cream coffee Sweet’s &Treats,4.7,31.0
Forest Perk Cafe,4.6,81.0
La Finca Coffee,4.9,102.0
Chelsea Cafe,3.9,42.0
Sweetwaters Coffee & Tea,4.1,161.0
McDonald's,3.0,1718.0
McDonald's,3.3,2180.0
Urban Cafe & Coffee Shop,4.4,98.0
Members Only STL Café,4.7,17.0
Ari's Ice Cream Parlor & Cafe,4.7,359.0
Cafe Cafe,4.7,3.0
Mobil,,
McDonald's,3.2,1245.0
Yo Dan's,,
Yo Dans Coffee & Donuts,,
Ari's Ice Cream Parlor & Cafe,4.7,359.0
CLASSY CAKES CAFE,5.0,6.0
McDonald's,2.9,2228.0
Koffee Ko,4.8,39.0
The Mud House,4.6,1644.0
Sump Coffee,4.7,836.0
Benton Park Cafe & Coffee Bar,4.5,1017.0
Teatopia,5.0,354.0
Shameless Grounds,4.8,250.0
Black Coffee.,4.9,27.0
Lilly's Panaderia,4.7,69.0
8 Cafe Vietnamese Coffee Shop and Billiards,4.8,4.0
Spine Indie Bookstore & Café,4.6,65.0
The Drip Community Coffee House STL,5.0,20.0
Park Avenue Coffee - Lafayette Square,4.5,592.0
The Mud House,4.6,1644.0
McDonald's,2.8,2927.0
The London Tea Room,4.6,1022.0
Benton Park Cafe & Coffee Bar,4.5,1017.0
Starbucks,4.0,177.0
Starbucks,3.3,189.0
Park Avenue Coffee - 10th Street,4.4,516.0
Blondie's Coffee & Wine Bar,4.2,768.0
ILC Cafe,,
Julia's Market Cafe,4.9,15.0
St. Louis Bread Co.,3.9,674.0
Milque Toast Bar,4.6,376.0
Catalyst Coffee Bar,4.6,270.0
Rooster,4.1,2721.0
Garment District®,3.1,8.0
Au Bon Pain,3.4,8.0
Starbucks,4.2,223.0
Teatopia,5.0,354.0
Shameless Grounds,4.8,250.0
Mixxology,,
Java Plus Cafe & Catering,4.5,33.0
Mauki's Bakery & Country Store,4.8,164.0
Protagonist Cafe,4.8,380.0
bo.co,5.0,2.0
Goshen Coffee Roasters,4.8,87.0
Coffeestamp,4.9,320.0
Starbucks @ Ballpark Village,4.4,111.0
Love 'n Light Wellness,,
Spine Indie Bookstore & Café,4.6,65.0
Have A Cow Cattle Co. Cafe and Urban Farm Store,4.9,463.0
Atrium Café,4.8,6.0
Art Saint Louis,4.8,38.0
Anchor Room Coffeehouse,4.8,57.0
Park Avenue Coffee - 6th & Olive,4.0,23.0
Paradice,,
Good Press Cafe at 21c St. Louis,4.1,14.0
Center Cafe,3.8,24.0
Starbucks,4.0,264.0
Cafe de Blaire,4.9,409.0
"BLT's - Breakfast, Lunch and Tacos",4.5,1021.0
Ranell's Market & Cafe,4.4,133.0
Chimera Teas,5.0,1.0
Black Coffee.,4.9,27.0
Cafe,,
McDonald's,3.3,2611.0
The London Tea Room,4.6,1022.0
Blondie's Coffee & Wine Bar,4.2,768.0
Park Avenue Coffee - Lafayette Square,4.5,592.0
Park Avenue Coffee - 10th Street,4.4,516.0
Pickleman's Gourmet Cafe,4.6,1235.0
Circle K,2.6,42.0
Starbucks,3.3,189.0
St. Louis Bread Co.,4.1,132.0
Einstein Bros. Bagels,3.4,32.0
Starbucks,3.1,34.0
St. Louis Epic Community Church,4.9,14.0
Mixxology,,
Garment District®,3.1,8.0
Fresh Gatherings Cafe + Farm,4.8,158.0
Catalyst Coffee Bar,4.6,270.0
Park Avenue Coffee - Cortex,4.2,109.0
Rooster,4.1,2721.0
ILC Cafe,,
Starbucks,4.2,689.0
Northwest Coffee Roasting,4.5,638.0
McDonald's,2.8,3053.0
Crave Coffeehouse,4.5,176.0
Blueprint Coffee - Washington Ave,4.4,7.0
High Low,4.6,56.0
The Cherry Garage,5.0,3.0
Ld's Coffee Shop,4.2,24.0
Hornets Dining Hall,,
Omen Coffee Company,4.5,172.0
Latté Lounge + HG Eatery,4.4,480.0
Starbucks,4.0,264.0
BerryBox Superfood Bar,4.9,8.0
Kalbi Taco Shack,4.6,489.0
Anchor Room Coffeehouse,4.8,57.0
Good Press Cafe at 21c St. Louis,4.1,14.0
Quarrelsome Coffee,4.7,105.0
Art Saint Louis,4.8,38.0
The Market Coffee,,
Go Café,,
Sweetwaters Coffee & Tea,4.1,161.0
Be Well Cafe' and Farmers Market Bazaar,4.5,2.0
Cafe,,
Cafeteria Annex,,
Annex Room,,
McDonald's,3.0,1718.0
Be Well Cafe' and Farmers Market Bazaar,4.5,2.0
McDonald's,3.0,1718.0
Yo Dans Coffee & Donuts,,
Yo Dan's,,
McDonald's,3.1,1441.0
McDonald's,3.1,1441.0
Kwis Cafe,5.0,1.0
The London Tea Room,4.6,1022.0
Starbucks,3.3,189.0
Park Avenue Coffee - 10th Street,4.4,516.0
Blondie's Coffee & Wine Bar,4.2,768.0
Starbucks,4.0,177.0
Au Bon Pain,3.4,8.0
Rooster,4.1,2721.0
Garment District®,3.1,8.0
Mixxology,,
Catalyst Coffee Bar,4.6,270.0
ILC Cafe,,
Starbucks,4.2,223.0
McDonald's,2.8,3053.0
Java Plus Cafe & Catering,4.5,33.0
Starbucks,4.3,18.0
Go Café,,
"BLT's - Breakfast, Lunch and Tacos",4.5,1021.0
Cafe de Blaire,4.9,409.0
Center Cafe,3.8,24.0
Paradice,,
Park Avenue Coffee - 6th & Olive,4.0,23.0
Atrium Café,4.8,6.0
Art Saint Louis,4.8,38.0
Good Press Cafe at 21c St. Louis,4.1,14.0
Starbucks @ Ballpark Village,4.4,111.0
Anchor Room Coffeehouse,4.8,57.0
Latté Lounge + HG Eatery,4.4,480.0
Be Well Cafe' and Farmers Market Bazaar,4.5,2.0
Cafe,,
